feat_key,cl_size,min_s,clusters_train,clusters_test,clusters_dev,outliers_train,outliers_test,outliers_dev,ARI_train,ARI_test,ARI_dev,NMI_train,NMI_test,NMI_dev,prec_train,prec_dev,prec_test,recall_train,recall_dev,recall_test,f1_train,f1_dev,f1_test
feats_nosp_transVgg16big_nsampling_rnd_win64_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_3_3,-,3,3,2008,17,16,6164,11,30,0.8802,0.9537,0.9269,0.9624,0.9630,0.9278,0.9557,0.9934,0.9963,0.8160,0.8858,0.9240,0.8803,0.9365,0.9588
feats_nosp_transVgg16big_nsampling_rnd_win64_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_3_5,-,3,5,1645,16,12,7029,22,37,0.8058,0.9498,0.9184,0.9601,0.9602,0.9151,0.7926,0.9906,0.9966,0.8197,0.8748,0.9172,0.8059,0.9291,0.9553
feats_nosp_transVgg16big_nsampling_rnd_win64_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_3_8,-,3,8,1503,15,11,8382,27,33,0.8004,0.9479,0.9278,0.9569,0.9596,0.9276,0.7894,0.9908,0.9967,0.8120,0.8893,0.9142,0.8006,0.9373,0.9536
feats_nosp_transVgg16big_nsampling_rnd_win64_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_5_3,-,5,3,1690,16,11,5690,14,21,0.8130,0.9537,0.9458,0.9636,0.9636,0.9493,0.7951,0.9901,0.9963,0.8321,0.9188,0.9240,0.8132,0.9531,0.9588
feats_nosp_transVgg16big_nsampling_rnd_win64_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_5_5,-,5,5,1594,15,12,6814,26,37,0.8082,0.9498,0.9184,0.9610,0.9607,0.9151,0.7926,0.9906,0.9967,0.8247,0.8748,0.9172,0.8083,0.9291,0.9553
feats_nosp_transVgg16big_nsampling_rnd_win64_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_5_8,-,5,8,1479,15,11,8365,27,33,0.8007,0.9479,0.9278,0.9571,0.9596,0.9276,0.7891,0.9908,0.9967,0.8130,0.8893,0.9142,0.8009,0.9373,0.9536
feats_nosp_transVgg16big_nsampling_rnd_win64_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_8_3,-,8,3,1543,15,11,5705,20,21,0.8156,0.9538,0.9458,0.9644,0.9646,0.9493,0.7927,0.9901,0.9965,0.8403,0.9188,0.9240,0.8158,0.9531,0.9589
feats_nosp_transVgg16big_nsampling_rnd_win64_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_8_5,-,8,5,1503,15,11,6886,26,29,0.8099,0.9498,0.9329,0.9613,0.9607,0.9350,0.7909,0.9909,0.9967,0.8301,0.8975,0.9172,0.8100,0.9419,0.9553
feats_nosp_transVgg16big_nsampling_rnd_win64_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_8_8,-,8,8,1459,15,11,8319,27,33,0.8007,0.9479,0.9278,0.9571,0.9596,0.9276,0.7881,0.9908,0.9967,0.8142,0.8893,0.9142,0.8009,0.9373,0.9536
feats_sp_transVgg16big_24h_nsampling_rnd_win64_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_3_3,-,3,3,2047,17,15,7741,15,21,0.8610,0.9533,0.9233,0.9554,0.9627,0.9336,0.9559,0.9968,0.9965,0.7834,0.8775,0.9232,0.8611,0.9334,0.9585
